Product Code,Product Name,Unassigned,Total Quantity,Product Unit
"",* CASING DA GAMING UNICORN X3,0,0,PCS
"",* CASING DARKFLASH C275P TEMPERED GLASS,0,0,PCS
"","* Casing ENLIGHT EN220 + PSU 300V Mini-ITX, Micro-ATX BLACK",0,0,PCS
"","* CASING HDD 2,5"" TRANSPARAN 3.0",4,4,PCS
"","* CASING HDD 3,5",1,1,PCS
"",* CASING INFINITY NEBULA V7,0,0,PCS
"",* CASING INFINITY NOIR,0,0,PCS
"",* CASING INFINITY PRIME ATX,0,0,PCS
"",* CASING INFINITY VESTA V3,0,0,PCS
"",* CASING MONTECH X2 MESH ATX,0,0,PCS
"",* CASING PARADOX GAMING BELIAL BLACK,0,0,PCS
"",* CASING PARADOX GAMING GALASHIELS PREINSTALLD 1 X 120MM,0,0,PCS
"",* CASING PARADOX GAMING LUXY V100 BLACK,0,0,PCS
"",* CASING PARADOX GAMING SAKA / LUXY U200W,0,0,PCS
"",* CASING PC COOLER PLATINUM LM300 ARGB BLACK,0,0,PCS
"",* CASING PC COOLER PLATINUM MM200 MESH BLACK,0,0,PCS
"",* CASING PC VENOM RX ROCKSTAR ATX INCLUDE 3 FAN,1,1,PCS
"",* CASING SIMBADDA SIM - V 380 WATT,5,5,PCS
"",* CASING VENOM RX FOX ESPORT INCLUD 3 FAN,2,2,PCS
"",* CASING VENOM RX ZERO SKY,0,0,PCS
"",* CATRIDGE CANON 810 BLACK,166,166,PCS
"",* CATRIDGE CANON 811 COLOUR,95,95,PCS
"",* CATRIDGE CANON BH7,17,17,PCS
"",* CATRIDGE CANON CA 92 / CH 7,2,2,UNIT
"",* CATRIDGE EPSON LQ 2190 #,8,8,PCS
"",* CATRIDGE EPSON PLQ 20 #,27,27,PCS
"",* CATRIDGE PRINTER HP GT 52 (COLOUR),0,0,PCS
"",* CCTV CAM DAHUA HAC - B1A51 5MP,0,0,UNIT
"",* CCTV CAM DAHUA HAC B1A21 IR BULLET (OUTDOOR),25,25,PCS
"",* CCTV CAM DAHUA HAC-T1A21 IR BULLET (INDOOR),9,9,PCS
"",* CCTV CAM DAHUA IPC B1A51P 5MP,0,0,PCS
"",* CCTV CAM HIK DS-2CE16HOT-ITPF EXIR BULLET,0,0,PCS
"",* CCTV CAM HIK DS-2CE56HOT-ITPF DOME,0,0,PCS
"",* CCTV DVR DAHUA 8CH XVR1B08-1 (MH),12,12,PCS
"",* CCTV DVR DAHUA DH-XVR1B04-I 4CH,5,5,PCS
"",* CCTV DVR DAHUA XVR1B16H 16CH,1,1,PCS
